car_brand,car_model,car_type
audi,3,Sedan
audi,a4,Sedan
audi,a6,Sedan
audi,a7,Sedan
bmw,1,Sedan
bmw,3,Sedan
bmw,4,Sedan
bmw,5,Sedan
bmw,6,Sedan
bmw,baleno,Hatchback
bmw,grand escudo,SUV
bmw,grand i10,Hatchback
bmw,h-1,Van
bmw,mobilio,MPV
bmw,slk,Convertible
bmw,sotana,Truck
bmw,x1,SUV
bmw,x3,SUV
bmw,x5,SUV
chevrolet,aveo,Sedan
chevrolet,c,SUV
chevrolet,captiva,SUV
chevrolet,confero,MPV
chevrolet,grand livina,MPV
chevrolet,lancer,Sedan
chevrolet,s515,Truck
chevrolet,spin,MPV
chevrolet,splash,Hatchback
chevrolet,trailblazer,SUV
chevrolet,trax,SUV
chevrolet,traxy,MPV
chevrolet,trooper,SUV
chevrolet,x-over,SUV
chevrolet,x4,SUV
daihatsu,avanza,MPV
daihatsu,ayla,Hatchback
daihatsu,brio,Hatchback
daihatsu,calya,MPV
daihatsu,gran max,Truck
daihatsu,luxio,MPV
daihatsu,sienta,MPV
daihatsu,sigra,MPV
daihatsu,sirion,Hatchback
daihatsu,taruna,SUV
daihatsu,terios,SUV
daihatsu,xenia,MPV
datsun,cross,SUV
datsun,go panca,Hatchback
datsun,go+ panca,MPV
ford,alphard,Van
ford,civic,Sedan
ford,ecosport,SUV
ford,elgrand,Van
ford,everest,SUV
ford,fiesta,Hatchback
ford,fortuner,SUV
ford,grand livina,MPV
ford,march,Hatchback
ford,range rover evoque,SUV
ford,ranger,Truck
ford,teana,Sedan
fordta,kijang innova,MPV
fordta,yaris,Hatchback
honda,accord,Sedan
honda,avanza,MPV
honda,br-v,SUV
honda,brio,Hatchback
honda,c-hr,SUV
honda,c-trail,SUV
honda,city,Sedan
honda,civic,Sedan
honda,cr-v,SUV
honda,cr-z,Coupe
honda,e,Electric
honda,elysion,MPV
honda,freed,MPV
honda,hr-v,SUV
honda,innova,MPV
honda,jazz,Hatchback
honda,mobilio,MPV
honda,odyssey,MPV
honda,panther,MPV
honda,serena,MPV
honda,stream,Wagon
honda,sx4,SUV
honda,vellfire,Van
honda,x-trail,SUV
