lead_id,marketplace_id,marketplace_car_id,used_dealer_company_id,dealer_id,car_brand,car_model,car_variant,car_engine,car_year,car_transmission,reserveprice
928320,141263,292354,4620,4728,honda,freed,s,1.5,2012,Auto,85000000
944610,141300,299526,5033,5141,honda,city,vtec,1.5,2011,Auto,95000000
929573,141255,290464,4471,4579,honda,hr-v,s,1.5,2016,Auto,139000000
942475,141290,297815,4697,4805,suzuki,ertiga,gl,1.4,2016,Manual,115000000
926113,141273,294157,4351,4459,suzuki,ertiga,gx,1.4,2014,Manual,85000000
933941,141263,292341,4312,4420,daihatsu,sigra,m,1,2019,Manual,50000000
930857,141257,290959,4678,4786,ford,fiesta,s,1.5,2014,Manual,70000000
944565,141286,296822,5590,5698,honda,brio,rs,1.2,2019,Auto,168000000
938889,141279,295561,4330,4438,isuzu,mu-x,r2,2.5,2014,Auto,230000000
329006,141262,292052,3341,3435,honda,cr-v,2wd,2.4,2011,Auto,120000000
945094,141291,298060,3203,3295,honda,br-v,e,1.5,2016,Auto,119500000
946837,141292,298330,4276,4384,toyota,calya,g,1.2,2016,Manual,60000000
935893,141281,295865,4786,4894,suzuki,swift,gx,1.4,2013,Auto,100000000
929657,141257,290854,856,874,honda,cr-v,2wd,2,2012,Auto,150000000
947982,141296,298798,3362,3456,honda,cr-v,2wd,2.4,2016,Auto,215000000
932869,141262,292047,4605,4713,daihatsu,xenia,x,1.3,2020,Manual,159500000
926158,141261,291947,4276,4384,honda,cr-v,2wd,2.4,2011,Auto,120000000
929261,141276,294898,1580,1629,mitsubishi,xpander,ultimate,1.5,2018,Auto,195000000
923802,141273,294113,5192,5300,mitsubishi,outlander,gls,2,2015,Auto,220000000
934561,141267,292916,3470,3568,honda,cr-v,2wd,2,2010,Auto,90000000
950913,141300,299553,5628,5736,toyota,alphard,g,2.5,2019,Auto,800000000
931082,141257,290949,431,417,mitsubishi,outlander sport,px,2,2015,Auto,160000000
939295,141277,295166,4605,4713,suzuki,ertiga,gx,1.4,2015,Auto,109000000
941241,141291,298095,4394,4502,honda,civic,fd1,1.8,2012,Auto,105000000
949669,141297,298949,5278,5386,toyota,avanza,g,1.3,2017,Auto,100000000
943944,141287,297186,4312,4420,daihatsu,sigra,r std,1.2,2018,Auto,99000000
931653,141265,294608,4678,4786,chevrolet,trax,turbo ltz,1.4,2012,Auto,110000000
943356,141281,295861,3538,3638,mitsubishi,delica,royal,2,2016,Auto,170000000
938897,141282,295952,431,417,mazda,8,no variant,2.3,2013,Auto,170000000
478589,141298,299136,1735,1784,honda,hr-v,e,1.5,2015,Auto,150000000
941549,141289,297565,4508,4616,honda,mobilio,rs,1.5,2017,Auto,165000000
942931,141294,298394,3660,3768,honda,brio,satya e,1.2,2016,Manual,90000000
926677,141247,288549,4972,5080,toyota,sienta,g,1.5,2017,Auto,145000000
917804,141251,289700,4294,4402,honda,freed,e,1.5,2012,Auto,103000000
934429,141263,292327,5281,5389,mitsubishi,outlander sport,px,2,2014,Auto,135000000
939004,141277,295047,4608,4716,mazda,cx-30,gt,2,2019,Auto,335000000
933978,141263,292396,4277,4385,honda,jazz,rs,1.5,2012,Auto,110000000
937180,141271,293781,4351,4459,honda,mobilio,s,1.5,2016,Manual,110500000
929234,141251,289609,5550,5658,nissan,livina,el,1.5,2019,Manual,140000000
945694,141296,298793,4471,4579,honda,mobilio,e,1.5,2016,Auto,109500000
929233,141251,289609,1865,1914,nissan,grand livina,sv,1.5,2019,Manual,140000000
942482,141282,295882,3844,3952,toyota,vellfire,z,2.4,2011,Auto,230000000
943258,141288,297295,3774,3882,mitsubishi,outlander sport,px,2,2014,Auto,146000000
934356,141265,292691,3618,3726,toyota,fortuner,g trd,2.5,2015,Auto,280000000
930924,141257,290952,4647,4755,honda,brio,satya e,1.2,2016,Manual,116000000
951073,141272,294019,1580,1629,toyota,camry,v,2.4,2010,Auto,100000000
949019,141296,298796,5511,5619,suzuki,ertiga,gl,1.4,2014,Manual,100000000
